iter	MultiClass
154	0.05996427924
155	0.05980382915
156	0.05936973869
157	0.05896487047
158	0.05867142706
159	0.05840740167
160	0.05782744256
161	0.0573401004
162	0.05708595331
163	0.05668097684
164	0.05634309471
165	0.05607047518
166	0.0557551003
167	0.05528767234
168	0.05481414013
169	0.05446291738
170	0.05434628161
171	0.05398781691
172	0.05370700337
173	0.05324277908
174	0.05298749731
175	0.05247462848
176	0.05222931426
177	0.05192219206
178	0.05153153187
179	0.05123123685
180	0.05095962809
181	0.05063701764
182	0.0503577957
183	0.04996982749
184	0.04974521462
185	0.04936440527
186	0.04912314103
187	0.04896539605
188	0.04863521193
189	0.04849959442
190	0.04815394508
191	0.04796243084
192	0.04771876374
193	0.04742487094
194	0.04718688158
195	0.04700900828
196	0.04688010477
197	0.04672571801
198	0.04641571834
199	0.04623791079
200	0.04612012459
201	0.04592602531
202	0.04564027609
203	0.04534766972
204	0.04515820498
205	0.0449058661
206	0.0447026948
207	0.04443969167
208	0.04428745969
209	0.04418410385
210	0.0441044068
211	0.04393236954
212	0.0437584819
213	0.04361759787
214	0.04344772394
215	0.04319838689
216	0.04298784189
217	0.04272778959
218	0.0424965467
219	0.0423807016
220	0.04228552621
221	0.04215284528
222	0.04189559994
223	0.04181286874
224	0.04166241485
225	0.04150911466
226	0.04126141625
227	0.04110922416
228	0.04091507656
229	0.0407445613
230	0.04056769747
231	0.0404291856
232	0.04013556854
233	0.03997164343
234	0.03976437977
235	0.0394797781
236	0.03935283957
237	0.03916103895
238	0.03902109729
239	0.03888029504
240	0.03871938992
241	0.03862572902
242	0.03840916713
243	0.03816163814
244	0.03800870048
245	0.03785267136
246	0.03766778268
247	0.03763195131
248	0.03749778048
249	0.03734136302
250	0.03712332325
251	0.0369289267
252	0.03672782658
253	0.03659696358
254	0.03647676605
255	0.03630490141
256	0.0360911966
257	0.03592114014
258	0.03568034198
259	0.03559187466
260	0.03550430039
261	0.03537436224
262	0.03529968372
263	0.03516680848
264	0.03503151499
265	0.0349421489
266	0.03474626314
267	0.03465784519
268	0.0345823347
269	0.03445872036
270	0.03440368631
271	0.03424483817
272	0.03412237104
273	0.03408171956
274	0.03401507739
275	0.03381540581
276	0.03373003345
277	0.03353404058
278	0.03345206981
279	0.0333218935
280	0.03321997431
281	0.03304799235
282	0.03294128413
283	0.03285201835
284	0.03277018091
285	0.03258595045
286	0.03247120072
287	0.0324055448
288	0.03233451927
289	0.03221291478
290	0.03211633841
291	0.03208004718
292	0.03191502673
293	0.03179611795
294	0.03165548234
295	0.03150532098
296	0.03137999488
297	0.03131420159
298	0.03122479889
299	0.03114793823
300	0.03094487335
301	0.03072092418
302	0.03058018145
303	0.03046616126
304	0.03028142359
305	0.03020112122
306	0.03007148833
307	0.02998937317
308	0.02990759558
309	0.02983863853
310	0.02978831673
311	0.02973055148
312	0.02964677747
313	0.02948667838
314	0.02936725993
315	0.02929155521
316	0.02914603586
317	0.02900296748
318	0.02888946454
319	0.02875645709
320	0.02861912292
321	0.02850857897
322	0.02840855813
323	0.0283426284
324	0.02828544104
325	0.02825124072
326	0.0281336477
327	0.02806564231
328	0.02792385014
329	0.02784984471
330	0.02772301748
331	0.02766218115
332	0.0275697008
333	0.02745285859
334	0.0273645483
335	0.02726174702
336	0.02717233112
337	0.02707385911
338	0.02701995487
339	0.02695297219
340	0.02687263337
341	0.02679465048
342	0.02668478651
343	0.02659030426
344	0.02649838831
345	0.02645699783
346	0.02639984142
347	0.02627725799
348	0.02619351071
349	0.02611120384
350	0.02598472627
351	0.02589179349
352	0.02579410753
353	0.02576068231
354	0.02565676987
355	0.02559942184
356	0.02550924881
357	0.02547052379
358	0.02535512961
359	0.02527412874
360	0.0252067773
361	0.02512690176
362	0.02506892632
363	0.02495308664
364	0.024861166
365	0.02480316571
366	0.02476208133
367	0.02472117816
368	0.02459071353
369	0.02450322766
370	0.02441995174
371	0.02437262944
372	0.02431554843
373	0.02427518134
374	0.02413852145
375	0.02404215314
376	0.02399448131
377	0.02388110665
378	0.02377540152
379	0.02372726272
380	0.0236474627
381	0.02361428807
382	0.0235366157
383	0.02349126285
384	0.02344797845
385	0.02337447355
386	0.02333196307
387	0.02324113064
388	0.02311391038
389	0.02303373017
390	0.02297842561
391	0.02293413112
392	0.02289340001
393	0.02284032561
394	0.02273193674
395	0.02271182741
396	0.0226637798
397	0.02255657789
398	0.02251639124
399	0.022490954
400	0.02244955888
401	0.02239411046
402	0.02236326913
403	0.02232094195
404	0.02226660359
405	0.02221387185
406	0.02211395027
407	0.0220301596
408	0.02200513209
409	0.02196685213
410	0.02191769102
411	0.02184569439
412	0.0217549279
413	0.02169583641
414	0.02165556895
415	0.02159534622
416	0.02154625753
417	0.02146985977
418	0.02141205928
419	0.02137153479
420	0.02131981321
421	0.02123420776
422	0.02116426817
423	0.02110672818
424	0.02106608844
425	0.02101836088
426	0.02096207273
427	0.02090982158
428	0.020869149
429	0.02082107203
430	0.02080086057
431	0.02077122667
432	0.02073962368
433	0.02071422534
434	0.02066861534
435	0.02062679911
436	0.02057678805
437	0.02052777152
438	0.02046631726
439	0.02041588866
440	0.02032869765
441	0.02025784837
442	0.02017716281
443	0.02013103237
444	0.0200872773
445	0.02005025756
446	0.02003186144
447	0.01999145214
448	0.01991282522
449	0.01985459911
450	0.01979810631
451	0.01977633753
452	0.01972839529
453	0.01968085684
454	0.01959888861
455	0.01957215427
456	0.01949718394
457	0.01942551937
458	0.01931967614
459	0.01928685554
460	0.0192407119
461	0.01918254421
462	0.01914081658
463	0.01909063708
464	0.01903390022
465	0.01899250116
466	0.01896112513
467	0.01890573739
468	0.01883943118
469	0.01880115871
470	0.01875501039
471	0.01869885836
472	0.01864610384
473	0.01860573687
474	0.01855010991
475	0.01850884115
476	0.01842148956
477	0.01837054911
478	0.01831247923
479	0.01827447594
480	0.01824918266
481	0.01822623466
482	0.01820007259
483	0.01815065355
484	0.01810196901
485	0.01800238488
486	0.01796868719
487	0.01792609283
488	0.01790020402
489	0.01784223823
490	0.0178215249
491	0.01774436455
492	0.01765644903
493	0.01760056645
494	0.01756053818
495	0.01752364045
496	0.01746188189
497	0.01742893034
498	0.01738264866
499	0.01733689187
500	0.01730834472
501	0.01726810278
502	0.0171990322
503	0.01714572084
504	0.01711088212
505	0.01707936478
506	0.01702375495
507	0.01699985473
508	0.01695055415
509	0.01687577162
510	0.01684102804
511	0.01680303004
512	0.01677028923
513	0.01675391268
514	0.01673228608
515	0.01669546261
516	0.01666045494
517	0.01661531983
518	0.01657037828
519	0.01654849809
520	0.01649110372
521	0.01643140185
522	0.01640275023
523	0.01637768143
524	0.01632058454
525	0.01626899102
526	0.01624106002
527	0.01613625037
528	0.01610990412
529	0.01608990363
530	0.01603406709
531	0.01600015696
532	0.01593911972
533	0.01589340065
534	0.01585334474
535	0.01580387384
536	0.01575973818
537	0.01572462701
538	0.01567904969
539	0.01562438029
540	0.01559816834
541	0.01555395366
542	0.01554114866
543	0.01552126994
544	0.01548881195
545	0.01545184185
546	0.01539909602
547	0.01536291197
548	0.01532811011
549	0.01528745726
550	0.01525580441
551	0.01520919907
552	0.01518184416
553	0.01514289668
554	0.01510709806
555	0.01508768355
556	0.01503445566
557	0.01502731278
558	0.01497325316
559	0.01494060329
560	0.0149062341
561	0.01487977662
562	0.01482510297
563	0.01478735644
564	0.01475903612
565	0.01471844599
566	0.01468278998
567	0.014649382
568	0.01463200552
569	0.01461382262
570	0.01456233284
571	0.01453517726
572	0.0145076029
573	0.01449072981
574	0.01447581937
575	0.01444993287
576	0.01440544932
577	0.01437958326
578	0.01436149046
579	0.0143540328
580	0.01433107562
581	0.01427990766
582	0.01425202491
583	0.01422525701
584	0.01420407078
585	0.01416539722
586	0.01414004231
587	0.01412163944
588	0.01409309898
589	0.01406987939
590	0.01404553546
591	0.01400657238
592	0.01399489691
593	0.01397446005
594	0.01393379058
595	0.01390704704
596	0.01387854807
597	0.01382953168
598	0.0138089981
599	0.01377137382
600	0.01375371296
601	0.01370879819
602	0.01365469791
603	0.01362158724
604	0.01360870607
605	0.01356797856
606	0.01354970622
607	0.01353335783
608	0.01351578909
609	0.01349786141
610	0.01346668153
611	0.01341815369
612	0.01340079549
613	0.01337941396
614	0.0133593533
615	0.01333050936
616	0.01331313799
617	0.01328111038
618	0.01325879658
619	0.01324715212
620	0.01320912647
621	0.0131683398
622	0.0131526682
623	0.01309865721
624	0.01307729117
625	0.01303848702
626	0.01298783624
627	0.01293559448
628	0.01291518867
629	0.01286997631
630	0.01283579662
631	0.01278959464
632	0.01273445333
633	0.01267986037
634	0.01265630711
635	0.012640255
636	0.01261910809
637	0.01260614538
638	0.01259364197
639	0.01256938671
640	0.01255497403
641	0.01252995949
642	0.01251985501
643	0.01250143452
644	0.01246822248
645	0.01243168573
646	0.01241886824
647	0.01240798488
648	0.01239208145
649	0.01237915943
650	0.01234653635
651	0.01231609907
652	0.01229391102
653	0.01225964407
654	0.01224084606
655	0.0122081453
656	0.01218172859
657	0.01216706543
658	0.0121310398
659	0.01209876818
660	0.01208187487
661	0.01206256028
662	0.01204199165
663	0.01201834325
664	0.01199763473
665	0.01196193488
666	0.01193830483
667	0.01191903533
668	0.01190684843
669	0.01187646306
670	0.01185869182
671	0.01181783794
672	0.01179458205
673	0.01178103323
674	0.01176043525
675	0.01173545924
676	0.01171281407
677	0.01168147865
678	0.01166708916
679	0.01165167592
680	0.0116389343
681	0.01162782325
682	0.01161415359
683	0.01160575507
684	0.01158629207
685	0.01155716791
686	0.01153659801
687	0.01150816664
688	0.0114991835
689	0.01148172789
690	0.01146154619
691	0.01144734025
692	0.01143009743
693	0.01141310496
694	0.01138840724
695	0.01135969656
696	0.01133878643
697	0.01130801545
698	0.01128394712
699	0.01126780839
700	0.0112407858
701	0.01120448029
702	0.01113754525
703	0.01112759289
704	0.01112005635
705	0.01108759626
706	0.01107109904
707	0.01104649056
708	0.01103732502
709	0.01101070175
710	0.01099270287
711	0.01098301046
712	0.01095882559
713	0.01091800105
714	0.01089199354
715	0.01086639853
716	0.01085003376
717	0.01082292662
718	0.01080159737
719	0.01077609637
720	0.01073328625
721	0.01072303193
722	0.01069849789
723	0.01068847469
724	0.01066867996
725	0.01065598844
726	0.0106214663
727	0.0105905251
728	0.01056988961
729	0.01054836881
730	0.01052139088
731	0.01050627526
732	0.01048046046
733	0.01046625131
734	0.01045359477
735	0.01042108159
736	0.01040949617
737	0.01039717971
738	0.01038250271
739	0.01037231716
740	0.01035808948
741	0.01034067432
742	0.01032759012
743	0.01031838723
744	0.01029240267
745	0.01028632108
746	0.01027247485
747	0.01025932887
748	0.0102386781
749	0.01022883667
750	0.01021308588
751	0.01019914373
752	0.01018921071
753	0.01017493256
754	0.01015855215
755	0.0101505706
756	0.01013659235
757	0.01012202055
758	0.01010761238
759	0.01008721382
760	0.01006647544
761	0.01003464074
762	0.01001750993
763	0.01000366107
764	0.009976924808
765	0.009946512875
766	0.00992494675
767	0.009902879278
768	0.009890289897
769	0.009875119869
770	0.00986860865
771	0.009861530117
772	0.009850877085
773	0.009819123586
774	0.009802012084
775	0.009784925258
776	0.009740989614
777	0.009719527076
778	0.009680936175
779	0.00967142506
780	0.009661138496
781	0.009637745355
782	0.009620110812
783	0.009604910181
784	0.00958981109
785	0.009576800031
786	0.00957217056
787	0.009558488574
788	0.009543542715
789	0.009539745496
790	0.00952627466
791	0.00951930187
792	0.009509003783
793	0.009497182965
794	0.009477733767
795	0.009463922091
796	0.009452412323
797	0.009438813655
798	0.009423450876
799	0.009404883264
800	0.009385879513
801	0.009365699182
802	0.009361116049
803	0.009342391257
804	0.009327121789
805	0.009303378752
806	0.009292610047
807	0.009271487536
808	0.009263857943
809	0.009253016098
810	0.00923831573
811	0.009226114286
812	0.009207028343
813	0.009190791537
814	0.009177485403
815	0.009166202166
816	0.009145243861
817	0.009133918006
818	0.009129093702
819	0.009118744549
820	0.009107299693
821	0.009090143538
822	0.009076772014
823	0.009067135525
824	0.009060103351
825	0.009051660941
826	0.009043197729
827	0.009039521904
828	0.009025886435
829	0.00899600075
830	0.008988000566
831	0.008978548254
832	0.008959409374
833	0.008946112978
834	0.008938670243
835	0.008923376248
836	0.008905475773
837	0.00887318925
838	0.00885803823
839	0.008848007465
840	0.008825365398
841	0.00881922338
842	0.008802577735
843	0.008793887919
844	0.008772316122
845	0.008759729125
846	0.008746738114
847	0.008736226674
848	0.008730841272
849	0.008722633321
850	0.008708694637
851	0.008690734319
852	0.008683546395
853	0.008665961854
854	0.008658075868
855	0.008644867656
856	0.008622225347
857	0.008596405207
858	0.008583531122
859	0.008557969572
860	0.008541940902
861	0.008522171445
862	0.008508922013
863	0.00850142266
864	0.008488490615
865	0.008483135859
866	0.008463717618
867	0.00844971984
868	0.008436481547
869	0.008413396431
870	0.008398182354
871	0.008394629645
872	0.008381945791
873	0.008370236976
874	0.008360012673
875	0.008347926077
876	0.008327280119
877	0.008317342803
878	0.008297315747
879	0.008289522499
880	0.008278854461
881	0.008267972003
882	0.008248941753
883	0.008230570337
884	0.008221830625
885	0.008213852674
886	0.008206347127
887	0.008197353577
888	0.008187812541
889	0.008179918504
890	0.008168502861
891	0.008155800513
892	0.008147317404
893	0.008129458736
894	0.008118859363
895	0.008108648603
896	0.008096399603
897	0.008090884624
898	0.008073339521
899	0.008069722442
900	0.00806040179
901	0.0080540257
902	0.008028013895
903	0.008015849264
904	0.008011721213
905	0.00800052344
906	0.007990422309
907	0.007979851926
908	0.007970119832
909	0.007963113792
910	0.007953740242
911	0.00793771083
912	0.00793055934
913	0.00792306923
914	0.007917509646
915	0.007905826777
916	0.007888432301
917	0.007876490995
918	0.007859468173
919	0.007846306934
920	0.007836871539
921	0.007826434531
922	0.007822605756
923	0.007809337698
924	0.007794289562
925	0.007789114513
926	0.007777668897
927	0.007765384251
928	0.007760032748
929	0.00774280888
930	0.00772812608
931	0.007719765384
932	0.007704978478
933	0.007696292587
934	0.00768399178
935	0.007660246378
936	0.007638877738
937	0.007622619341
938	0.007613783165
939	0.007599307325
940	0.007589682734
941	0.007571362572
942	0.007560769331
943	0.007543550006
944	0.007531373238
945	0.00752594551
946	0.007508308277
947	0.007497308916
948	0.007482597344
949	0.007477288641
950	0.00747152109
951	0.007461900073
952	0.007454426072
953	0.007449131649
954	0.007438064227
955	0.007419835615
956	0.007406409276
957	0.007395362052
958	0.007385132887
959	0.007371135721
960	0.00735217664
961	0.007342958772
962	0.007331249176
963	0.00731814523
964	0.007306380554
965	0.007302499562
966	0.007296705211
967	0.00728708317
968	0.007275797543
969	0.007264038431
970	0.007243277883
971	0.007236515939
972	0.007226631078
973	0.007210274097
974	0.0072001883
975	0.007186750804
976	0.00718334826
977	0.007170283974
978	0.007165163562
979	0.00715819416
980	0.007142650577
981	0.007131727858
982	0.007122582982
983	0.007110765935
984	0.007102546517
985	0.007086862702
986	0.007075675256
987	0.00705594485
988	0.007048783876
989	0.007036336423
990	0.007027385764
991	0.007015340081
992	0.007004910158
993	0.006995852426
994	0.006989223997
995	0.00698540588
996	0.006979120125
997	0.006972819756
998	0.006963923941
999	0.006948386134
