iter	Passed	Remaining
620	12375	7552
621	12393	7531
622	12412	7511
623	12432	7491
624	12451	7470
625	12470	7450
626	12492	7431
627	12511	7411
628	12530	7390
629	12549	7370
630	12569	7350
631	12588	7329
632	12607	7309
633	12626	7288
634	12644	7268
635	12663	7247
636	12681	7226
637	12700	7206
638	12719	7185
639	12739	7165
640	12759	7146
641	12777	7125
642	12796	7104
643	12815	7084
644	12835	7064
645	12857	7045
646	12879	7027
647	12904	7009
648	12927	6991
649	12949	6972
650	12971	6953
651	12993	6935
652	13014	6915
653	13035	6896
654	13058	6877
655	13079	6858
656	13099	6839
657	13119	6819
658	13138	6798
659	13158	6778
660	13177	6758
661	13196	6737
662	13223	6721
663	13249	6704
664	13272	6686
665	13321	6680
666	13363	6671
667	13387	6653
668	13410	6634
669	13430	6614
670	13457	6598
671	13478	6578
672	13500	6559
673	13522	6540
674	13541	6519
675	13561	6499
676	13583	6480
677	13603	6460
678	13622	6440
679	13643	6420
680	13665	6401
681	13687	6382
682	13708	6362
683	13732	6344
684	13754	6325
685	13775	6305
686	13796	6285
687	13820	6267
688	13841	6247
689	13864	6229
690	13884	6208
691	13904	6188
692	13925	6168
693	13947	6149
694	13970	6130
695	13993	6111
696	14016	6093
697	14040	6074
698	14064	6056
699	14086	6037
700	14110	6018
701	14136	6001
702	14164	5984
703	14186	5964
704	14207	5945
705	14232	5926
706	14255	5907
707	14280	5889
708	14301	5869
709	14323	5850
710	14346	5831
711	14368	5812
712	14390	5792
713	14413	5773
714	14438	5755
715	14461	5736
716	14484	5716
717	14506	5697
718	14531	5679
719	14553	5659
720	14581	5642
721	14601	5622
722	14621	5601
723	14640	5581
724	14661	5561
725	14681	5540
726	14701	5520
727	14721	5500
728	14742	5480
729	14763	5460
730	14783	5440
731	14805	5420
732	14826	5400
733	14847	5380
734	14866	5359
735	14887	5340
736	14906	5319
737	14926	5299
738	14945	5278
739	14965	5258
740	14987	5238
741	15006	5217
742	15025	5197
743	15045	5176
744	15065	5156
745	15086	5136
746	15106	5116
747	15127	5096
748	15146	5075
749	15166	5055
750	15187	5035
751	15207	5015
752	15226	4994
753	15246	4974
754	15265	4953
755	15287	4933
756	15306	4913
757	15327	4893
758	15347	4873
759	15370	4853
760	15395	4835
761	15417	4815
762	15442	4796
763	15462	4776
764	15485	4756
765	15511	4738
766	15591	4736
767	15623	4719
768	15643	4699
769	15664	4678
770	15689	4660
771	15709	4639
772	15729	4619
773	15749	4598
774	15769	4578
775	15792	4558
776	15813	4538
777	15832	4517
778	15852	4497
779	15871	4476
780	15891	4456
781	15912	4435
782	15933	4415
783	15952	4395
784	15972	4374
785	15991	4353
786	16012	4333
787	16033	4313
788	16052	4292
789	16072	4272
790	16091	4251
791	16112	4231
792	16134	4211
793	16154	4191
794	16174	4170
795	16199	4151
796	16220	4131
797	16241	4111
798	16263	4091
799	16282	4070
800	16301	4050
801	16321	4029
802	16345	4010
803	16365	3989
804	16385	3969
805	16404	3948
806	16426	3928
807	16447	3908
808	16467	3887
809	16486	3867
810	16526	3851
811	16551	3832
812	16578	3813
813	16606	3794
814	16629	3774
815	16651	3754
816	16679	3736
817	16702	3716
818	16730	3697
819	16756	3678
820	16782	3658
821	16805	3639
822	16829	3619
823	16850	3599
824	16874	3579
825	16896	3559
826	16919	3539
827	16942	3519
828	16964	3499
829	16988	3479
830	17013	3460
831	17037	3440
832	17058	3419
833	17080	3399
834	17106	3380
835	17130	3360
836	17153	3340
837	17177	3320
838	17200	3300
839	17225	3280
840	17247	3260
841	17269	3240
842	17290	3220
843	17313	3200
844	17337	3180
845	17358	3159
846	17382	3139
847	17408	3120
848	17434	3100
849	17457	3080
850	17479	3060
851	17501	3040
852	17524	3019
853	17545	2999
854	17566	2979
855	17586	2958
856	17609	2938
857	17633	2918
858	17652	2897
859	17673	2877
860	17693	2856
861	17718	2836
862	17741	2816
863	17763	2796
864	17785	2775
865	17808	2755
866	17839	2736
867	17867	2717
868	17898	2698
869	17924	2678
870	17949	2658
871	17976	2638
872	18003	2619
873	18033	2599
874	18057	2579
875	18093	2561
876	18119	2541
877	18150	2522
878	18174	2501
879	18200	2481
880	18230	2462
881	18272	2444
882	18300	2424
883	18334	2405
884	18370	2387
885	18398	2367
886	18421	2346
887	18446	2326
888	18470	2306
889	18495	2286
890	18522	2265
891	18550	2245
892	18578	2226
893	18603	2205
894	18629	2185
895	18655	2165
896	18685	2145
897	18715	2125
898	18739	2105
899	18769	2085
900	18794	2065
901	18817	2044
902	18844	2024
903	18869	2003
904	18896	1983
905	18916	1962
906	18936	1941
907	18958	1920
908	18979	1900
909	19000	1879
910	19022	1858
911	19042	1837
912	19067	1816
913	19095	1796
914	19118	1776
915	19144	1755
916	19168	1734
917	19192	1714
918	19217	1693
919	19239	1672
920	19261	1652
921	19282	1631
922	19304	1610
923	19325	1589
924	19345	1568
925	19366	1547
926	19387	1526
927	19406	1505
928	19425	1484
929	19445	1463
930	19465	1442
931	19486	1421
932	19506	1400
933	19528	1379
934	19549	1359
935	19570	1338
936	19590	1317
937	19611	1296
938	19632	1275
939	19654	1254
940	19675	1233
941	19694	1212
942	19716	1191
943	19736	1170
944	19756	1149
945	19776	1128
946	19796	1107
947	19818	1087
948	19838	1066
949	19860	1045
950	19881	1024
951	19901	1003
952	19922	982
953	19942	961
954	19962	940
955	19984	919
956	20004	898
957	20024	877
958	20043	856
959	20064	836
960	20084	815
961	20103	794
962	20123	773
963	20143	752
964	20163	731
965	20182	710
966	20202	689
967	20222	668
968	20242	647
969	20262	626
970	20282	605
971	20302	584
972	20322	563
973	20344	543
974	20363	522
975	20383	501
976	20406	480
977	20426	459
978	20447	438
979	20467	417
980	20487	396
981	20508	375
982	20528	355
983	20548	334
984	20568	313
985	20587	292
986	20607	271
987	20627	250
988	20646	229
989	20667	208
990	20686	187
991	20708	167
992	20727	146
993	20747	125
994	20768	104
995	20786	83
996	20809	62
997	20828	41
998	20849	20
999	20869	0
